NodeName_Original,NodeName_Harmonized,Node_Type,Node_Subtype,Node_SpeciesSpecificity,Node_CrossRef,
IgE,IgE,Antibody,,,,
IgG1,IgG,Antibody,,,,
IgG3,IgG,Antibody,,,,
IgA1,IgA,Antibody,,,,
IgA2,IgA,Antibody,,,,
IgG,IgG,Antibody,,,,
IgA,IgA,Antibody,,,,
IgM,IgM,Antibody,,,,
Antibody,NA,Antibody,,,,
Pathogen,NA,Antigen,,,,
Lipoproteins,Lipoproteins,Antigen,Bacteria,,,
Lipoteichoic acids,Lipoteichoic acids,Antigen,Bacteria,,,
b-glucan,b-glucan,Antigen,Bacteria or Fungi,,,
Zymosan,Zymosan,Antigen,Fungi,,,
dsRNA,dsRNA,Antigen,Virus,,,
LPS,LPS,Antigen,Bacteria,,,
Flagellin,Flagellin,Antigen,Bacteria,,,
ssRNA,ssRNA,Antigen,Virus,,,
Unmethylated CpG DNA,CpG DNA,Antigen,Bacteria or Virus,,,
Profilin,Profilin,Antigen,Bacteria,,,
Bacterial Peptidoglycans,Bacterial Peptidoglycans,Antigen,Bacteria,,,
Anthrax lethal factor,Anthrax lethal factor,Antigen,Bacteria,,,
fMLF,fMLF,Antigen,Bacteria,,,
Microbial lipids,Microbial lipids,Antigen,Bacteria,,,
Microbial metabolites,Microbial metabolites,Antigen,Bacteria,,,
Bacterial metabolites,Bacterial metabolites,Antigen,Bacteria,,,
Chitin,Chitin,Antigen,Fungi,,,
Microbe antigens,Microbe antigens,Antigen,Bacteria or Fungi or Virus,,,
Bacterial proteins,Bacterial proteins,Antigen,Bacteria,,,
Bacteria,Bacteria,Antigen,Bacteria,,,
Bacterial polysaccharide,Bacterial polysaccharide,Antigen,Bacteria,,,
CpG DNA,CpG DNA,Antigen,Bacteria or Virus,,,
RNA,RNA,Antigen,Virus,,,
Nucleotides,Nucleotides,Antigen,Bacteria or Virus,,,
Virus,Virus,Antigen,Virus,,,
Microbial products,Microbial products,Antigen,Bacteria or Fungi,,,
Lipomannans,Lipomannans,Antigen,Bacteria,,,
Phospholipids,Phospholipids,Antigen,Bacteria,,,
Heat-shock proteins,Heat-shock proteins,Antigen,Bacteria,,,
Neuropeptides,Neuropeptides,Antigen,Self,,,
Sialic acid-modified glycoproteins,Mammalian glycoproteins,Antigen,Self,,,
Adipocyte,Somatic,Cell,Somatic,,http://purl.obolibrary.org/obo/CL_0000136,
APC,NA,Cell,,,http://purl.obolibrary.org/obo/CL_0000145,
B,B,Cell,Lymphocyte,,http://purl.obolibrary.org/obo/CL_0000236,
B_germinalcenter,B,Cell,Lymphocyte,,http://purl.obolibrary.org/obo/CL_0000844,
B_IgA+,B,Cell,Lymphocyte,,,
B_lymphoblast,B,Cell,Lymphocyte,,http://purl.obolibrary.org/obo/CL_0000946,
B_marginalzone,B,Cell,Lymphocyte,,http://purl.obolibrary.org/obo/CL_0000845,
B_memory,B,Cell,Lymphocyte,,http://purl.obolibrary.org/obo/CL_0000787,
B_naive,B,Cell,Lymphocyte,,http://purl.obolibrary.org/obo/CL_0000788,
B_Plasma,B,Cell,Lymphocyte,,http://purl.obolibrary.org/obo/CL_0000786,
B_Plasma_IgA+,B,Cell,Lymphocyte,,http://purl.obolibrary.org/obo/CL_0000987,
B_Plasmablast,B,Cell,Lymphocyte,,http://purl.obolibrary.org/obo/CL_0000980,
B1,B,Cell,Lymphocyte,,http://purl.obolibrary.org/obo/CL_0000819,
Basophil,Basophil,Cell,Myeloid,,http://purl.obolibrary.org/obo/CL_0000767,
BM Stromal,BM Stromal,Cell,Somatic,,http://purl.obolibrary.org/obo/CL_0010001,
Common Lymphoid Progenitor,Common Lymphoid Progenitor,Cell,Precursor,,http://purl.obolibrary.org/obo/CL_0000051,
Common Myeloid Progenitor,Common Myeloid Progenitor,Cell,Precursor,,http://purl.obolibrary.org/obo/CL_0000049,
DC,DC,Cell,APC,,http://purl.obolibrary.org/obo/CL_0000990,
DC (CD11b-),DC,Cell,APC,,,
DC (CD11b+),DC,Cell,APC,,http://purl.obolibrary.org/obo/CL_0002465,
DC (CD8a+),DC,Cell,APC,,http://purl.obolibrary.org/obo/CL_0001000,
DC (monocyte-derived),DC,Cell,APC,,http://purl.obolibrary.org/obo/CL_0000782,
Endothelial,Endothelial,Cell,Somatic,,http://purl.obolibrary.org/obo/CL_0000115,
Endothelial_HEV,Endothelial,Cell,Somatic,,http://purl.obolibrary.org/obo/CL_0002652,
Endothelial_vascular,Endothelial,Cell,Somatic,,http://purl.obolibrary.org/obo/CL_0000071,
Eosinophil,Eosinophil,Cell,Myeloid,,http://purl.obolibrary.org/obo/CL_0000771,
Epithelial,Epithelial,Cell,Somatic,,http://purl.obolibrary.org/obo/CL_0000066,
